GeneSymbol	GeneID	RefSeq_Protein_GI	RefSeq_Protein_Accession	Uniprot_Protein_Accession
Aard	246323	21489993	NP_659561	Q91ZF7
Aars	292023	564395734; 209862801; 564395730; 564395732; 564395728	NP_001093987; XP_006255643; XP_006255645; XP_006255644; XP_006255642	A6IZ80; P50475; Q4G057
Aars2	301254	564367330; 564367326; 157818067	XP_006244577; XP_006244575; NP_001100361	D3ZX08
Aarsd1	619440	77627733	NP_001029281	Q5XI97
Aasdh	364136	1046859937; 1046859930; 1046859944; 1046859927; 564383383; 1046859946; 1046859939; 1046859933; 1046859941; 1046859935; 1046823604	XP_017454932; XP_008768333; XP_017460349; XP_006250920; XP_017454934; XP_017454936; XP_008768332; XP_017454933; XP_017454935; XP_017454930; XP_017454931	D4A5F5
Aasdhppt	300328	1046899545; 256985146	XP_017451010; NP_001100268	B2RYJ4
Aass	296925	155369281	NP_001094433	A2VCW9
Aatf	114512	16758536	NP_446172	Q9QYW0
Aatk	690853	564375708; 564375706; 277349626; 564375710	NP_001162174; XP_006247988; XP_006247989; XP_006247990	D4ABZ3
Abat	81632	13591900; 564370487	NP_112265; XP_006245822	O70539; P50554; Q66HM1
Abca1	313210	672052593; 672052595; 672052597; 30017417	NP_835196; XP_008761932; XP_008761930; XP_008761931	Q80ZB2; F1LNL3
Abca12	301482	392350799; 293349868	XP_237242; XP_001054709	-
Abca13	289797	158187533	NP_001099490	-
Abca14	365362	564298269; 1046848025; 672014194; 564298261; 564298265; 1046848021; 1046848023; 672014198; 672014200; 1046819014; 1046819018; 564298259; 1046848027	XP_003753383; XP_008772871; XP_006223533; XP_008772872; XP_017446017; XP_017446474; XP_006223537; XP_017446014; XP_008772870; XP_017446015; XP_017446016; XP_017446472; XP_006223535	-
Abca15	293442	1046841528; 1046841530; 310772233	XP_017444477; XP_017444478; NP_001099763	D4ACN5
Abca16	293444	564298277; 672014207; 1046819023; 1046819027; 672038310; 564298283; 564298271; 564298281	XP_006223538; XP_006223541; XP_006223544; XP_008772874; XP_017446481; XP_006223543; XP_008758060; XP_017446485	-
Abca17	287112	672066823; 672066825; 564370893; 1046815949; 72255569; 672066821; 564370895	XP_008765779; XP_008765778; NP_001026807; XP_006245989; XP_008765777; XP_006245990; XP_017444026	E9PU17; Q4H493
Abca2	79248	1046881082; 1046881080; 564339629; 13242308	XP_017447541; XP_017447542; NP_077372; XP_006233707	Q9ESR9
Abca3	302973	392351063; 564312388; 564371126; 109490297	XP_001054650; XP_220219; XP_006246101; XP_006220652	A0A0G2K1Q8
Abca4	310836	157819513; 564338615	NP_001101191; XP_006233304	D4AB29
Abca5	286970	564374806; 27545388	NP_775429; XP_006247622	M0RA83; Q80Z07; Q8CF82
Abca6	303639	1046820427; 672069945; 1046851705; 1046851712; 672025393; 564313558; 564375029; 564313560; 564375027; 564375031; 1046820434; 564313556; 564313554; 564375033	XP_008766628; XP_006247717; XP_006247718; XP_017459658; XP_006220946; XP_006220947; XP_017453220; XP_017459656; XP_008773685; XP_001081607; XP_002727881; XP_006220948; XP_017453219; XP_006247716	M0R890
Abca7	299609	564358041; 564358043; 564358037; 1046895286; 564358039; 46485412	NP_997481; XP_006240933; XP_006240934; XP_017450204; XP_006240935; XP_006240936	F1LR67; Q7TNJ2
Abca8	303637	672070127; 672025724	XP_008766672; XP_008774047	-
Abca8a	303638	529367218; 564374908	XP_006247673; NP_001268753	D3ZXD2
Abca9	287788	1046851703; 1046820425	XP_017459655; XP_017453218	-
Abcb10	361439	58865904	NP_001012166	Q5FVL8
Abcb11	83569	13929072	NP_113948	A0A2P1EA62; O70127
Abcb1a	170913	25453402; 564345536	NP_596892; XP_006236056	Q9JK64
Abcb1b	24646	1046883711; 672048810; 25453370	NP_036755; XP_008760911; XP_017447958	Q8R427
Abcb4	24891	6981354; 1046883738; 564345548; 672048822; 564345546	XP_006236062; NP_036822; XP_006236061; XP_008760919; XP_017447963	Q08201; Q78E07
Abcb5	314537	564357673; 564307909	XP_006225967; XP_006240775	D4AEL4
Abcb6	140669	18034785	NP_542149	O70595
Abcb7	302395	47058990	NP_997683	Q704E8
Abcb8	362302	564345383; 56119152	XP_006236008; NP_001007797	Q5RKI8; Q0QVT4
Abcb9	63886	11560034	NP_071574	Q764Q5; Q9QYJ4; Q764Q6
Abcc1	24565	31542029	NP_071617	Q810E4; Q810G9; Q63346; Q9JHS0; Q8CG09
Abcc10	316231	157822789	NP_001101671	D3ZX04
Abcc12	291923	40786453; 564394885; 564394887; 672084387; 672084385; 672084393	XP_008770598; NP_955409; XP_008770600; XP_008770597; XP_006255304; XP_006255303	Q6Y306; Q6Y305
Abcc2	25303	6978669	NP_036965	Q63120; Q63145
Abcc3	140668	18034783; 1046848297; 1046848301; 1046848305; 1046848299; 1046848294; 1046848303	XP_017452461; XP_017452456; XP_017452457; XP_017452459; NP_542148; XP_017452458; XP_017452460	O88563; O88270; A0A0G2K4K3
Abcc4	170924	61097902; 672079012	XP_008769161; NP_596902	Q6QMG6
Abcc5	116721	1046852253; 1046852255; 1046852249; 16758936; 1046852247; 1046852251; 564377533	XP_006248655; XP_017453335; XP_017453336; XP_017453338; NP_446376; XP_017453337; XP_017453334	Q9QYM0
Abcc6	81642	564328282; 13591916; 672036615; 1046844448; 1046844451	XP_006229221; XP_008757641; XP_017445259; XP_017445258; NP_112275	O88269
Abcc8	25559	148368981; 672036288; 672036286	NP_037171; XP_008757542; XP_008757543	Q70X90; Q9EQT0; Q09429; P70532; O54989
Abcc9	25560	19923678	NP_037172	O89115; Q63563
Abcd1	363516	1046907714; 157818721	XP_017457604; NP_001102291	D3ZHR2
Abcd2	84356	15375324	NP_203503	Q9QY44
Abcd3	25270	6981450	NP_036936	P16970
Abcd4	299196	117414145	NP_001013118	D4A576
Abce1	361390	564395323; 157823309	XP_006255469; NP_001101916	D3ZD23
Abcf1	85493	158081775; 1046877359	NP_001103353; XP_017457272	Q9ERQ2; Q6MG08
Abcf2	311959	564345351; 564345355; 157821181; 564345349; 564345359	XP_006235994; XP_006235996; NP_001103136; XP_006235991; XP_006235992	A0A096MIV5; A2VD14; F1M8H5
Abcf3	287982	58865370	NP_001011896	Q66H39
Abcg1	85264	564397305; 16758262	XP_006256295; NP_445954	Q9EPG9
Abcg2	312382	564347068; 564347060; 31077114; 672049842; 564347064; 564347062; 1046884454	XP_006236635; XP_008761183; XP_006236636; XP_006236634; XP_006236638; XP_017448109; NP_852046	Q80UR3; Q80XF3; Q80W57; Q80ST1
Abcg3	498327	190194427	NP_001121783	-
Abcg3l1	289453	70778849; 564382764; 1046858258; 1046858260	NP_001004076; XP_006250688; XP_017454585; XP_017454584	Q4KM08
Abcg3l2	360910	62078993	NP_001014155	Q5U314
Abcg3l3	305142	157821469; 564382718; 1046858573	NP_001100675; XP_006250668; XP_017454651	D4A896
Abcg3l4	360997	81295367	NP_001032282	Q498U1
Abcg4	300664	157818605; 1046899660; 564363330; 564363332	NP_001100286; XP_017451038; XP_006242977; XP_006242978	D3ZCM3
Abcg5	114628	26024223; 1046891496	NP_446206; XP_017449465	Q99PE7; Q8CIQ4
Abcg8	155192	672055265; 26080338	NP_569098; XP_008762675	P58428; Q8CIQ5; Q923R7
Abhd1	313917	56606090	NP_001008520	Q5RK23
Abhd10	303953	672071157; 182765445	NP_001116824; XP_008766954	B1WBW9; Q5I0K5
Abhd11	360831	403224993	NP_001258109	D3ZXK4
Abhd12	499913	66730294	NP_001019485	Q6AYT7
Abhd12b	408202	51510897	NP_001003928	Q6IE05
Abhd13	306630	672080711; 564390076; 564390074; 672080708; 402695408; 	NP_001258001; XP_006253540; XP_008769618; XP_006253541; XP_008769617; 	D4A1B6
Abhd14a	300982	564365360; 564365366; 672062883; 57528269; 672062879; 672062877; 672062875; 672062885	XP_006243779; XP_008764716; XP_008764717; XP_008764720; XP_008764721; XP_006243782; NP_001009670; XP_008764718	Q5I0C4
Abhd14b	300983	1046899906; 564365374; 56090461	XP_006243786; NP_001007665; XP_017451082	Q6DGG1
Abhd15	303343	157823065	NP_001100495	D3Z8B6
Abhd16a	361796	47087081	NP_997696	Q6MG55
Abhd16b	311720	62078837	NP_001014074	Q5XIL6
Abhd17a	299617	672057729; 55741536	XP_008763312; NP_001006984	Q5XIJ5
Abhd17b	309399	564333158; 62078787	XP_006231224; NP_001014050	Q6AY17
Abhd17c	361601	198278407	NP_001094206	Q3B7U5; B5DFK7
Abhd18	499602	1046873399; 167830472; 672042158; 1046873396; 564336324; 564336326; 	XP_006232373; NP_001020210; XP_017446521; XP_006232372; XP_017446522; XP_008759162; 	Q5RJK2; Q4V7A8; D4A556
Abhd2	293050	157820401	NP_001099745	D4A7W1
Abhd3	291793	157820211	NP_001099632	D4A3D4
Abhd4	364380	564386211; 564386213; 157819991	XP_006252058; NP_001102336; XP_006252057	D3ZAW4
Abhd5	316122	47058978; 564366314; 564366316; 1046900525; 564366318	XP_017451193; XP_006244169; NP_997689; XP_006244171; XP_006244170	Q6QA69
Abhd6	305795	564385680; 564385678; 56090644; 564385676	XP_006251829; NP_001007681; XP_006251828; XP_006251830	Q5XI64
Abhd8	306338	157823127	NP_001100771	B5DEN3
Abi1	79249	564392503; 126723350; 564392491; 564392495; 564392497; 564392499; 564392501; 564392489; 564392493	XP_006254417; XP_006254421; XP_006254420; XP_006254415; XP_006254416; NP_077373; XP_006254419; XP_006254422; XP_006254418	Q9QZM5; A2VD09
Abi2	286928	27465617	NP_775166	O35823
Abi3	303476	672068659; 672068661; 61557012	XP_008766268; NP_001013136; XP_008766267	Q6AYC6
Abi3bp	363767	672025997; 1046853361; 1046853387; 1046853414; 1046821019; 1046821071; 564376563; 672070970; 1046853369; 1046853393; 1046853400; 1046853404; 1046821025; 1046821051; 1046821065; 672070973; 1046853359; 1046853373; 1046853389; 1046853398; 1046821043; 1046821055; 672070975; 672070977; 672025995; 1046853363; 1046853379; 1046821015; 1046821031; 1046821035; 564314353; 672070968; 1046853375; 1046853383; 1046853408; 1046821047; 1046821049; 1046821061; 1046821069; 1046821073; 1046853357; 1046853365; 1046853367; 1046853391; 1046821013; 1046821017; 1046821021; 1046821023; 1046821037; 1046821041; 1046821067; 672025988; 1046853371; 1046853377; 1046853381; 1046853385; 1046853410; 1046853412; 1046853416; 1046821029; 1046821045; 564314351; 564376561; 672025999; 1046821027; 1046821033; 1046821039; 1046821057	XP_017453608; XP_017453630; XP_017459804; XP_017459810; XP_017459814; XP_017459817; XP_017459820; XP_017459822; XP_006221176; XP_008766890; XP_008774809; XP_008774810; XP_017453632; XP_017453633; XP_017459798; XP_017459799; XP_017459811; XP_017459819; XP_017459821; XP_006221177; XP_006248294; XP_017453626; XP_017453628; XP_017459800; XP_017459807; XP_017459808; XP_017459809; XP_017459816; XP_008766891; XP_017453609; XP_017453610; XP_017453613; XP_017453621; XP_017453624; XP_017453627; XP_017453631; XP_017453634; XP_017459803; XP_017459806; XP_017459818; XP_017459825; XP_008766888; XP_017453612; XP_017453622; XP_017453623; XP_017453629; XP_017459801; XP_017459815; XP_017459823; XP_017459824; XP_008774805; XP_017453611; XP_017453616; XP_008766889; XP_017453618; XP_017453619; XP_017453620; XP_006248295; XP_008766887; XP_008774808; XP_017453614; XP_017453615; XP_017453617; XP_017453625; XP_017459802; XP_017459805; XP_017459812; XP_017459813	-
Abitram	298018	293347380; 293359267	XP_002726576; XP_002729524	D4AE08
Abl1	311860	564340254; 291167784	NP_001094320; XP_006233980	E9PT20; D3ZGM3
Abl2	304883	564381204; 564381208; 564381222; 157821685; 564381206; 564381218; 564381214; 1046856428; 564381216; 564381220; 564381210; 564381212	XP_006250116; XP_006250117; XP_006250108; XP_017454299; NP_001100656; XP_006250109; XP_006250110; XP_006250112; XP_006250113; XP_006250114; XP_006250115; XP_006250111	F1M0N1
Ablim1	307989	1046818636; 1046818640; 1046818672; 1046818676; 1046847446; 1046818648; 1046818656; 1046818642; 1046818650; 1046818658; 1046818668; 1046818674; 1046818678; 1046818646; 1046847448; 564299415; 1046818638; 1046818664; 1046818680; 672015096; 1046818644; 1046818654; 1046818660; 1046818652; 1046818662; 1046818666; 	XP_017445781; XP_017445793; XP_017445810; XP_017445817; XP_017445818; XP_017445797; XP_017445803; XP_017445809; XP_017445782; XP_017445806; XP_008773108; XP_017445776; XP_017445785; XP_017445815; XP_017445827; XP_017445889; XP_017445890; XP_017445784; XP_017445788; XP_017445791; XP_017445804; XP_017445808; XP_003753479; XP_017445816; XP_017445779; XP_017445802; 	Q3KR72
Ablim2	360958	1046859157; 564384129; 564384131; 672076844; 1046859146; 1046859176; 564384123; 564384127; 1046859150; 1046859154; 48040491; 1046859163; 1046859172; 1046859180; 1046859138; 1046859166; 1046859144; 1046859152; 1046859140; 1046859160; 1046859169; 672076841; 1046859142; 1046859178; 295148092	XP_006251201; XP_008768550; XP_017454802; XP_006251200; XP_017454795; NP_001171166; XP_017454792; XP_017454794; XP_017454796; XP_017454800; XP_017454790; XP_017454791; XP_017454797; XP_006251197; XP_017454787; XP_017454789; XP_017454793; XP_017454798; XP_017454801; XP_008768551; NP_001001514; XP_017454803; XP_006251199; XP_017454788; XP_017454799	Q6KC51; Q6KC50
Ablim3	307395	300794625; 672083465; 1046868200; 672083461; 1046868203; 1046868208; 672083467; 1046868206	XP_008770368; NP_001178627; XP_008770367; XP_017456439; XP_017456442; XP_008770366; XP_017456441; XP_017456440	-
Abo	100301568	237681192	NP_001153735	Q8CFC4
Abo2	296504	695130816	NP_001258227	D4A7T1
Abo3	65270	1046880980; 148747204	XP_017447517; NP_075582	Q8R552; Q8CFC5; Q8R4Y3; Q8CFC6; Q8R005; Q9ET32
Abr	287537	157786654	NP_001099284	-
Abra	286965	28460704	NP_787038	B0BMV2; Q8K4K7
Abracl	685045	153791568	NP_001093117	D3ZSL2
Abraxas1	289468	57528219	NP_001009633	Q5I0F1
Abraxas2	293570	348041249	NP_001099777	-
Abt1	306960	161621245; 564391486	NP_001020845; XP_006254034	Q4KLM5
Abtb1	297432	54400726	NP_001005902	Q5XIU1
Abtb2	171440	300796366	NP_599230	A0A0G2JUJ7; O08764
Ac1576	102552783	567316103	NP_001274553	Q7TQ73
Acaa1a	24157	6978429	NP_036621	Q5FVR9; P21775
Acaa1b	501072	90968642; 1046902870	NP_001035108; XP_017451641	Q4G049; P07871
Acaa2	170465	18426866	NP_569117	P13437
Acaca	60581	11559962	NP_071529	P11497; A1EC79; P97902
Acacb	116719	1046853970; 1046853976; 1046853966; 1046853964; 1046853978; 672073269; 1046853972; 672073277; 1046853968; 16758804	XP_008767535; NP_446374; XP_017453732; XP_017453737; XP_017453731; XP_017453734; XP_008767531; XP_017453733; XP_017453735; XP_017453736	A0A0G2K1F2; O70151
Acad10	304500	197386131; 564379483	NP_001128009; XP_006249448	-
Acad11	315973	157823745	NP_001101651	B3DMA2
Acad8	367196	392349899; 392341831	XP_003754442; XP_346004	-
Acad9	294973	564336225; 564336223; 197313734	XP_006232331; XP_006232332; NP_861433	B1WC61
Acadl	25287	6978431	NP_036951	P15650
Acadm	24158	292494885	NP_058682	G3V796; P08503
Acads	64304	11968090	NP_071957	P15651; Q6IMX3
Acadsb	25618	6978433; 672038387; 672038391; 672038389	NP_037216; XP_008758089; XP_008758087; XP_008758088	P70584
Acadvl	25363	6978435	NP_037023	P45953
Acan	58968	11990616	NP_071526	P07897
Acap1	287443	300390201	NP_001099266	D4ABD3
Acap2	619382	564377210; 1046820796; 564377206; 1046853033; 564377202; 1046853028; 1046853030; 77404225	XP_017453555; NP_001029178; XP_017453556; XP_006248549; XP_006248553; XP_017453554; XP_017459763; XP_006248551	Q5FVC7; A0A0G2K4T3
Acap3	313772	1046888669; 564354520; 157819291	XP_017448926; NP_001101469; XP_006239639	A0A0G2K5N8; D4A346
Acat1	25014	401461805	NP_058771	P17764
Acat2	308100	55741502	NP_001006996	Q5XI22
Acat2l1	365096	564296378; 564325334	XP_003748745; XP_003753224	-
Acbd3	289312	33469059	NP_878263	Q7TNY6
Acbd4	303577	564374696; 672069510; 564374688; 564374690; 672069506; 58865596; 564374694; 1046849579; 564374692; 672069508; 672069512	XP_006247570; XP_006247574; XP_006247571; XP_006247573; XP_008766507; XP_008766508; XP_017452815; NP_001012013; XP_008766506; XP_006247572; XP_008766509	Q6DGF9
Acbd5	307170	564392485; 1046865931; 1046865933; 117647273; 564392487; 1046865920; 564392475; 564392471; 1046865922; 1046865935; 1046865926; 1046865917; 1046865928; 564392469; 564392473; 1046865937	NP_001071103; XP_006254413; XP_017456064; XP_017456067; XP_017456070; XP_006254405; XP_006254406; XP_006254408; XP_017456066; XP_017456072; XP_006254407; XP_006254414; XP_017456069; XP_017456065; XP_017456068; XP_017456071	A0FKI6; Q3T1K2; A0FKI7
Acbd6	289125	564381178; 1046855947; 564381174; 564381176; 58865390; 564381184; 1046855945	XP_006250094; XP_006250098; XP_006250093; XP_017454193; XP_006250095; XP_017454194; NP_001011906	Q5RJK8
Acbd7	361277	564392245; 186910251	XP_006254331; NP_001119551	D3ZB36
Accs	311218	564341910; 564341915; 388596653; 672046296; 564341913; 564341917	XP_006234642; XP_006234639; XP_006234640; XP_006234641; XP_008760250; NP_001254463	F1LXH1; Q5XI27; F7ETF2
Accsl	690470	672046318; 157819169	XP_008760257; NP_001103064	D3ZUW2
Acd	307798	672084820; 81295353	NP_001032270; XP_008770718	Q4FZR5
Ace	24310	6978757	NP_036676	Q7TMC6; P47820; Q8CFN1; Q9EQM9
Ace2	302668	58865588	NP_001012006	C7ECU5; Q5EGZ1
Ace3	498012	1046850238; 1046850240; 384871586	XP_017452962; XP_017452961; NP_001245166	M0RB66
Acer1	301118	157822473	NP_001100345	M0R603
Acer2	313339	564351588; 157817955	XP_006238425; NP_001101413	D3ZNW4
Acer3	499210	293344237; 1046846364; 1046817417; 672038122	XP_008758031; XP_017443612; XP_017445677; XP_001065019	F1M6P3
Ache	83817	25282401	NP_742006	P37136
Acin1	305884	1046861233; 564386137; 281427182; 564386139; 564386147; 564386145; 564386141	XP_006252021; XP_006252025; XP_017455173; XP_006252024; XP_006252022; NP_001163939; XP_006252020	E9PST5
Ackr1	689105	564381925; 1046822559	XP_002728079; XP_002724939	-
Ackr2	140473	1046899159; 55926223; 672063551	NP_511176; XP_017450910; XP_008764886	Q5U1W0
Ackr3	84348	564369665; 16758074	XP_006245541; NP_445804	Q9JLZ0; O89039
Ackr4	685243	1046836890; 1046836888; 564365298; 672023283; 1046836885; 672063266; 1046902650; 1046902652; 564310571	XP_017459198; XP_006243751; XP_017459197; XP_008764813; XP_017451613; XP_006226609; XP_017451614; XP_017459196; XP_008756080	G3V9V6
Acly	24159	162287306; 161760632	NP_058683; NP_001104565	P16638; G3V888; Q8VIQ1; G3V9G4; Q497C7
Acmsd	171385	19705473	NP_599199	Q8R5M5
Acnat1	681043	564305306; 672052622	XP_008761940; XP_006225357	-
Acnat2	313220	62078859	NP_001014085	Q5FVR5
Aco1	50655	8394162	NP_059017	Q63270
Aco2	79250	40538860	NP_077374	Q6P6V3; Q9ER34
Acod1	306127	564387429; 157822797	NP_001100752; XP_006252502	D3ZWM1
Acot1	50559	13786132	NP_112605	O88267; O55161
Acot11	100363074	406035346	NP_001258312	F1LX28
Acot12	170570	18543355; 672041066	XP_008758850; NP_570103	Q99NB7
Acot13	291135	157817043	NP_001099581	D3ZA93
Acot2	192272	48675862; 564356620	NP_620262; XP_006240382	Q6IMX8
Acot3	314304	157820563	NP_001101511	-
Acot4	681337	157822089	NP_001102910	D3ZIQ1
Acot5	503049	119310193	NP_001073177	A1A5R4
Acot6	299193	765826426	NP_001292214	D3ZSE3
Acot7	26759	564354215; 225690628; 225690626	XP_006239510; NP_037346; NP_001139533	F8WG67; Q64559; O09041; O08652
Acot8	170588	347921998	NP_570112	F7F557; Q6AZ44
Acot9	302640	62078649	NP_001013982	Q5U2X8
Acox1	50681	8394149	NP_059036	P11354; P07872
Acox2	252898	564385634; 564385630; 404385149; 564385632	XP_006251807; NP_665713; XP_006251806; XP_006251805	F1LNW3
Acox3	83522	16758056; 1046859547	XP_017454881; NP_445791	Q63448
Acoxl	296138	1046878803; 1046878799; 157817706; 1046878801	XP_017447072; XP_017447071; NP_001099978; XP_017447070	A0A0G2K3T0; D4A257
Acp1	24161	207113137; 924181763; 924183198; 10863989	NP_001300669; NP_067085; NP_001300664; NP_001129034	P41498; Q9R138; B0BNC1
Acp2	24162	401709941; 564341749; 1264214934	NP_001344000; NP_058684; XP_006234562	Q642D2
Acp4	308569	672036437; 672036434; 564328066; 564328063; 157819935; 564328059; 672036430; 	XP_006229116; XP_008757591; XP_006229115; XP_008757589; XP_006229113; XP_008757590; NP_001100980	D4AD24; A0A0G2KB67
Acp5	25732	1046899426; 400153701; 399788505; 564362733; 564362735; 564362737	XP_006242755; NP_062017; XP_006242754; XP_006242756; NP_001257818; XP_017450976	P29288; A0A0G2K6Z6
Acp6	295305	72255521	NP_001026815	Q4FZU0
Acp7	687403	1046847605; 1046816547	XP_017460193; XP_017445929	-
Acpp	56780	1046901183; 201025407; 9910502; 1046901185; 1046901188	XP_017451360; NP_064457; NP_001128373; XP_017451358; XP_017451359	A0A0G2K4B4; A6XJQ5; P20646
Acr	24163	1046894974; 126723441; 564361430; 1046894976	XP_017450145; XP_017450144; XP_006242240; NP_036622	P29293; Q4QR89; Q9QWF2
Acrbp	500316	564348988; 68163561	NP_001020220; XP_006237441	Q6AY33
Acrv1	60353	11120694	NP_068515	Q9WUY6
Acsbg1	171410	672061815; 1046899221; 1046899223; 19705503; 672061813; 1046899218	XP_017450922; XP_008764426; XP_017450920; XP_008764425; XP_017450921; NP_599216	A0A0G2K7J0; Q924N5
Acsbg2	301120	121583863; 564366839; 	XP_006244373; NP_001073565	A1L1K7
Acsf2	619561	77993368	NP_001030123	Q499N5
Acsf3	498962	1046871065; 1046827101; 1046871063; 1046827099	XP_008770887; XP_001079424; XP_008772476; XP_574249	D3ZUX7
Acsl1	25288	672080146; 564389125; 564389127; 25742739; 564389117; 564389121; 564389123; 564389119	NP_036952; XP_006253184; XP_006253186; XP_006253187; XP_006253188; XP_006253185; XP_006253189; XP_008769476	P18163
Acsl3	114024	16923952	NP_476448	Q63151
Acsl4	113976	564400166; 564400168; 16758426; 564400170	XP_006257377; XP_006257376; NP_446075; XP_006257378	O35547
Acsl5	94340	1046844576; 16758398	XP_017445297; NP_446059	O88813
Acsl6	117243	564371650; 564371656; 18543341; 564371652; 564371654; 1046848278; 1046848280	XP_017452454; NP_570095; XP_006246285; XP_017452455; XP_006246283; XP_006246284; XP_006246286	Q6IU14; P33124; Q63835
Acsm1	361638	672038004; 422011078; 564330659; 564330655; 564330657	NP_001101972; XP_006230191; XP_006230189; XP_006230190; XP_008757993	B5DFA3
Acsm2	246263	21426769	NP_653349	O70490; Q6AZ63
Acsm3	24763	65301416; 564330611; 564330613	NP_150234; XP_006230167; XP_006230168	Q6SKG1; Q62742
Acsm4	353317	32140186; 1046842927	XP_017444802; NP_859046	Q7TN78
Acsm5	361637	564330647; 1046843272; 564330653; 88196780	XP_006230188; XP_006230185; NP_001014184; XP_017444881	Q6AYT9
Acss1	296259	157818027; 672047415	XP_008760529; NP_001099994	D3ZZN3
Acss2	311569	1046879817; 157823265	XP_006235383; NP_001101263	G3V9U0
Acss3	314800	157821541; 564359144; 564359146; 672058576	NP_001101561; XP_008763549; XP_006241365; XP_006241364	D3ZGU2; A0A0G2K047
Acta1	29437	9506371	NP_062085	P02568; P68136; P99020
Acta2	81633	110625958	NP_112266	P03996; P62738; P70476; P04108; B0BMT0
Actb	81822	13592133	NP_112406	P70514; P60711; Q64316; P99021; P02570; Q11211
Actbl2	294732	157823033	NP_001099879	D3ZRN3
Actc1	29275	77993370	NP_062056	P68035; P04270; A0JPJ4
Actg1	287876	1046849017; 188536082; 1046849015	XP_017452656; XP_017452655; NP_001120921	P63259; P14104; P02571; P99022
Actg2	25365	6978441; 564347427	NP_037025; XP_006236790	P12718; P63269
Actl10	100911682	392346832; 392339625	XP_003753861; XP_003749645	-
Actl11	316000	67078446	NP_001019959	Q4VSW4
Actl6a	361925	84781662; 564336174	NP_001034122; XP_006232315	Q4KM87; D3ZJJ2
Actl6b	288563	269315877; 564378836	XP_006249182; NP_001099387	P86173; A6J021
