GeneSymbol	GeneID	RefSeq_Protein_GI	RefSeq_Protein_Accession	Uniprot_Protein_Accession
1700019D03Rik	67080	1566185481; 1566185496; 1566185438; 1566185452; 568906806; 568906808; 1566185498; 568906810; 755492664; 21450635; 1566185494; 568906804; 1566185492	NP_001355205; NP_001355206; NP_001355209; NP_001355208; XP_006496262; XP_006496264; NP_001355210; NP_659202; XP_006496263; NP_001355203; XP_006496261; XP_011236868; NP_001355207	Q9CPS8
1700019M22Rik	69423			-
1700019N19Rik	67507	1574697335; 1574696933; 1039758113; 13385716; 569007717	XP_006527359; NP_001355618; NP_080484; XP_017173768; NP_001355617	Q9CQT6; A0A0R4J076
1700020A23Rik	75656	254588043; 254553327	NP_083651; NP_001156955	Q9DA59
1700020D05Rik	75555	268607534	NP_076270	Q99PB1; Q9DA56
1700020L24Rik	66330	568975244; 158937252	NP_079768; XP_006534002	Q9DAI8; Q8C1R3; A7MCU3
1700020N15Rik	75509	365906247	NP_083592	L7MTX3
1700021F05Rik	67851	568965605; 568965607; 1039734035; 13385904; 755533195	XP_006512897; XP_011241504; XP_017169558; NP_080687; XP_006512896	Q9CQF4; D3Z316; Q3TQU4
1700021F07Rik	72221	254588112	NP_082434	Q80YT4; Q9DA42
1700022I11Rik	67317	74315979	NP_080364	Q3V0E1; A2AG32; Q9CVW7; Q9CVP8
1700023F06Rik	69441	755539555; 360039201	NP_001241653; XP_011247529	A2AB62
1700024G13Rik	67085	77404227	NP_001029209	Q3KNL4
1700024P04Rik	69382	254588081	NP_081340	Q9D9Z7
1700025F22Rik	69416	755563613; 33469001; 755563615	XP_011245637; XP_011245638; NP_081350	Q9D9Y7
1700025G04Rik	69399	37574070; 755494635	XP_011246371; NP_932107	Q3TJL3; Q8K207
1700025H01Rik	75531	-	-	-
1700025O08Rik	69984	-	-	-
1700028K03Rik	76421	270483710; 33286440	NP_877422; NP_780450	G3X9D1; Q3KQP7; E3W998; Q8CF32
1700028P14Rik	67483	13385700	NP_080464	Q9CQC3
1700029F12Rik	66479	755546464; 545746300; 124107621; 13385034	NP_079861; NP_001271134; XP_011242991; NP_001074246	Q810S0; Q9CRB4
1700029H14Rik	66501	13385056; 568953428; 124244075	NP_079877; XP_006508912; NP_001074250	G3X906; Q9D9Y4
1700029I15Rik	75641	34147107	NP_898935	Q8CF31; A2AHH2
1700029J07Rik	69479	75677532; 1315690805; 568954952; 	NP_001028320; XP_006509547; NP_001346042; 	Q3U1D9
1700029P11Rik	66346	225903452	NP_079779	Q9CQ68
1700030J22Rik	69528	1269208403; 1269208464; 568957524; 58037165; 1269208424; 568957522	NP_001344183; NP_081379; NP_001344184; XP_006531408; NP_001344182; XP_006531409	B9EHE0; Q8BHB7; Q9D9R4; Q810Q8
1700030K09Rik	72254	568955622; 755526028; 251823881	XP_011240630; XP_006509813; NP_082446	Q922C1; Q3UZJ9
1700031F05Rik	73300	569010703; 294979186	NP_082772; XP_006528375	B1AX30
1700034E13Rik	78414	58037527	NP_084373	Q9D2T6
1700034J05Rik	73344	1039775862; 255982590; 568944592; 1039775864; 755518922; 1039775870; 1039775860; 1039775867; 255982588	NP_082785; XP_011239934; XP_006507175; NP_001157708; XP_017177263; XP_017177262; XP_017177264; XP_017177265; XP_017177266	Q9D9Q1; Q80W69; Q8CDR6; Q8C629
1700037C18Rik	73261	568996354; 568996352; 568996356; 568996358; 568996360; 145864485	XP_006522682; XP_006522680; XP_006522681; XP_006522684; NP_082760; XP_006522683	Q9D9P5; Q8BT88; B9EJK2
1700037H04Rik	67326	13385590; 902763274; 1371542593; 755500421	NP_080367; NP_001298067; NP_001348304; XP_011238047	Q9D1K7; Q9CVT3; F8WIU1
1700040F15Rik	73329	-	-	-
1700042G07Rik	67323	150010564	NP_001092765	B1AUF7
1700047G07Rik	73323	-	-	-
1700047I17Rik2	100101807	153945763; 568978496	XP_006515382; NP_001093586	Q8BR63; Q9D9M7
1700056E22Rik	73363	294979199	NP_082792	F7CNM6
1700057G04Rik	78459	755530607; 85701692; 755530609; 755530605	XP_011241141; NP_001028356; XP_011241139; XP_011241140	Q3V0U0
1700061G19Rik	78625	569002093; 569002095; 117935034; 	XP_006525205; NP_084417; XP_006525204; 	Q08EE8
1700065D16Rik	73410	409168313; 	NP_001258498; 	Q8BR99
1700066B19Rik	73449	85701682; 569004597	NP_001028340; XP_006526353	Q3TS39
1700066C05Rik	78654	149268110; 1339869109	NP_084422; XP_001473368	-
1700066M21Rik	73467	256355005	NP_082822	E9QNR4; Q9D9H8
1700067K01Rik	73453	568957643; 225543144	XP_006531466; NP_898920	F6UZF9; G3UZX3; Q8CF25; B7ZWF8
1700067P10Rik	68224	126722640; 	NP_080901; 	G3X8U2; Q9D2S7; Q9D5D0
1700071K01Rik	237880	85702063	NP_001028937	Q3V2K0
1700074I03Rik	73530	-	-	-
1700074P13Rik	73481	755517431; 1039775875; 568943045; 21312106; 755517439; 1039775873; 1039775878; 568943039; 1372145949	XP_006506753; XP_011239791; NP_001348859; NP_082826; XP_011239790; XP_017177267; XP_017177268; XP_006506756; XP_017177269	Q9D9G7
1700080O16Rik	74279	569009410; 569009412; 241982800	NP_083127; XP_006541615; XP_006541614	Q9D9G4
1700088E04Rik	27660	887517009; 887517011; 887517013; 20070386	NP_001297510; NP_001297508; NP_001297505; NP_613047	Q14AC9; Q4V9V4; B7ZMP0; A0A087WRF9; Q9D9S1
1700092M07Rik	74307	293629242	NP_001170818	G3UW99
1700093K21Rik	67358	158631221; 568970443; 40254498; 568970445	NP_001103603; XP_006514853; XP_006514852; NP_080381	Q9D9C4; Q9D9E2; Q810S2
1700094D03Rik	73545	254587916	NP_082843	A0A0R4J089; Q9D9D9
1700102P08Rik	112418	755531199; 568962743; 225690583	XP_006511691; NP_444446; XP_011241154	Q9D9C7; A0A0R4J0D7; Q6P8V6
1700109H08Rik	77036	124249218	NP_084119	Q9D9C0
1700113H08Rik	76640	1039734490; 258613935; 1039734484; 568968892; 1039734488; 1039734486	XP_017169633; XP_017169635; NP_083961; XP_017169634; XP_017169632; XP_006514347	Q9D9A9; E9Q9Q5; A0A087WR28
1700120B22Rik	641387	-	-	-
1700122O11Rik	76651	365906275	NP_083965	J3QPW6; Q9D996
1700123K08Rik	76658	755514691; 755514689; 13386432; 755514687; 1039772841	XP_011239262; XP_011239263; XP_011239261; XP_017176644; NP_083969	Q9D991
1700123O20Rik	58248	10946806	NP_067412	Q9JJ93; Q921Q2
1700125H20Rik	73634	568976077; 568976079; 568976085; 755539837; 568976075; 568976081; 568976083; 254587922	XP_006534402; XP_006534403; XP_006534404; XP_006534405; XP_006534406; NP_082865; XP_006534407; XP_011247583	Q9D979; Q5SX10; Q80ZN8
1700129C05Rik	67932	1039746782; 568988645; 568988643; 13385956	XP_017171663; XP_006519544; NP_080737; XP_006519545	Q9CQ77; E0CXF5
1810009A15Rik	66276	13384876	NP_079739	Q9D937
1810009J06Rik	73626	12963793; 	NP_076196; 	Q9CPN7
1810009N02Rik	69099	21729757	NP_081215	Q9D927
1810010H24Rik	69066	1039738094; 1039738096; 755539534; 1039738090; 1039738092; 1039738098; 254553269; 1039738100	XP_017170224; XP_017170225; XP_006534160; XP_017170228; XP_017170226; XP_017170227; XP_017170229; NP_001156945	Q08AU9; A0A1B0GT03; A0A1B0GR98
1810013L24Rik	69053	145587086	NP_001074869	Q14AM7; Q9D905
1810024B03Rik	329509	568917563; 568917561; 38348502	NP_941032; XP_006499841; XP_006499840	Q8BWE1
1810030O07Rik	69155	30424732; 569008900; 755564632	NP_780350; XP_011245797; XP_006527761	Q3TFM9; Q8C5K5; A2BDN9; Q8CF12
1810037I17Rik	67704	21313570	NP_077781	Q99M08; Q8CEY1
1810046K07Rik	69809	568960032; 568960030; 254553370; 568960034	XP_006510652; XP_006510650; NP_081493; XP_006510651	Q9D8Q6
1810055G02Rik	72056	569005991; 1279652178; 1279652337; 21312486; 569005989; 1279652184	XP_006531903; XP_006531904; NP_082353; NP_001345185; NP_001345186; NP_001345187	Q8VCP2; Q9D8N1
1810062G17Rik	72282	332205857	NP_082459	G3X8Y2; Q9D8K9
1810065E05Rik	69864	262073053	NP_081515	Q5NC41; Q9D8K1
2010003K11Rik	69861	58037185	NP_081513	Q8VC23; Q9D8F7
2010106E10Rik	67715	274319295; 27754077	NP_080609; NP_001162062	Q9D3Q9; A2ANY3
2010109A12Rik	75610	361050356	NP_083639	Q9D875
2010300C02Rik	72097	568907006; 568907004; 568907002; 755492792; 254675126; 755492794; 	XP_006496354; XP_006496355; NP_082372; XP_006496360; XP_006496359; XP_006496358; 	E9Q3M9; Q6GQT3
2010315B03Rik	630836	340805875; 340805873; 755532618; 340805871	XP_011248168; NP_001230048; NP_001230047; NP_001230046	Q05C34; J3QK55
2200002D01Rik	72275	158937262	NP_082455	Q9D809
2200002J24Rik	69147	1039779848; 58037149; 1039779846; 1039779850	XP_017167771; XP_017167770; XP_017167772; NP_081237	Q9D807
2210010C04Rik	67373	71043961; 	NP_075822; 	Q9CPN9; Q9D7Y7
2210011C24Rik	70134	603843791	NP_001278221	A0A087WQ89; Q9CVC4
2210016F16Rik	70153	254675232	NP_081611	G3X8U3
2210016L21Rik	72357	39930441; 1039772616	XP_017176601; NP_082487	Q3TX98; Q9CVB7; Q8K0K9; Q3UY34; A0A0R4J099
2210407C18Rik	78354	253970410	NP_653127	Q6YI28
2210408I21Rik	72371	124486823; 1039744208; 568983675; 224589075	XP_017171098; XP_006517460; NP_001074822; NP_001139148	Q5FWD2; Q3UPC7; Q3TPR6; B9EKQ6; E9Q2V0; Q9D7T8; Q3TNF8; Q8BQF4
2300002M23Rik	69542	30424738	NP_780357	Q8BM15; Q3KNI3; Q3KNI4
2300003K06Rik	100502865	305855126	NP_001182312	A2A4M0
2300009A05Rik	69478	221139775	NP_081366	Q9D7P2; Q0VG49; Q3TYQ8
2310002L09Rik	71886	239937495; 239937493	NP_081380; NP_082257	Q9D7M6; Q9D7L5; Q14C20
2310003L06Rik	74248	-	-	-
2310009B15Rik	69549	124487011	NP_001074695	D3Z1T2
2310011J03Rik	66374	21313500	NP_079797	Q9D7E4
2310022A10Rik	66367	170650651; 568946410; 170650653; 1039779640	XP_006540353; NP_001116239; NP_780316; XP_017167720; 	Q8C1M9; Q8R3Y5; Q3US50; G5E8E3; A0A087WRI8; Q8BVL8
2310022B05Rik	69551	255304941	NP_780358	Q3U3E1; Q6PDM3; Q3TCS2; Q3U2K7; Q8C3W1
2310030G06Rik	66952	1577429083	NP_080141	Q9D8L0; Q9CPS4
2310033P09Rik	67862	13259376	NP_077172	Q9CSK6; Q99LX5
2310034C09Rik	117172	16905137	NP_473441	Q9D746
2310039H08Rik	67101	13385462	NP_080242	Q9D1N0; Q9D727
2310047K21Rik	71928	-	-	-
2310050C09Rik	66533	258679542	NP_079897	G5E8Z3
2310057B04Rik	69690	-	-	-
2310057J18Rik	67719	13385840	NP_080612	Q9D7F4; Q8C6C9; Q9D6S4; Q9D775; Q8C6D2; Q9CQ55; Q8VDJ0; Q9CPV8; Q9D745; Q9D865; Q8C6D6
2310057M21Rik	68277	755523058; 21311825; 	NP_080931; XP_011240190; 	Q9D2Q3
2310057N15Rik	69696	13386208	NP_081446	Q9D6T8
2310061I04Rik	69662	569001531; 569001527; 158262037; 569001529	NP_001028802; XP_006524938; XP_006524940; XP_006524939	B8JJ69; B8JJ66
2310061N02Rik	69661	254675219	NP_081431	Q9D6S9
2310079G19Rik	69699	254675221	NP_081449	Q9D6L6
2410002F23Rik	668661	568948304; 568948298; 568948306; 1039779670; 568948312; 755521232; 262072980; 755521237; 755521234; 1039779659; 568948300; 568948308	XP_017167725; XP_006541158; XP_011249194; NP_080156; XP_006541160; XP_011249195; XP_011249196; XP_017167726; XP_006541154; XP_006541156; XP_006541157; XP_006541153	Q9CWW9; Q3TE80
2410004B18Rik	66421	755504248; 13384984; 1247174005	NP_001343213; XP_006501948; NP_079831	Q9CWU4; Q9CRP5
2410004P03Rik	73667	318083343; 318804024; 568978048	NP_001188261; NP_001188262; XP_006515294	A0A087WQY2; D3Z430
2410124H12Rik	76785	366039934	NP_084016	Q9CWF8
2410131K14Rik	76792	124486989	NP_001074705	Q8BTG6
2410137M14Rik	76797	21746171	NP_084023	Q9CWF0
2410141K09Rik	76803	46810309; 589058151	NP_898942; NP_001277125	K7N769; Q8C1L2
2510002D24Rik	72307	85701660	NP_001028336	Q3U595
2510009E07Rik	72190	49457853	NP_001001881	Q8C8Z2; Q6GQU0
2510039O18Rik	77034	225543561; 568932108	NP_084117; XP_006539342	B2KFU4; Q3U5A6; Q9CY11; Q91X21; Q69Z34
2610002M06Rik	67028	27229022	NP_080197	B1ATX3; Q9CQD4
2610008E11Rik	72128	1327850528; 755535180; 1327850532; 1039734295; 1039734297; 140971855	XP_017169604; NP_001346644; XP_011241883; NP_001346646; XP_017169603; NP_001004362	Q3UFT9; G3X964
2610028H24Rik	76964	158534073; 568968919; 568968915; 755535292; 568968921	NP_084092; XP_006514358; XP_006514361; XP_006514360; XP_011241902	Q80X27; Q3TT67; E9Q7R5; G5E8K1
2610036A22Rik	70190	1039801153; 1039801155	XP_017174473; XP_017174474	-
2610044O15Rik8	72139	24418878	NP_722475	Q8BG62
2610301B20Rik	67157	165905593; 568927268	XP_006538263; NP_080281	Q3UJP5; Q6PDD5
2610318N02Rik	70458	568996185; 568996187; 568996191; 1279489793; 568996183; 568996189; 71274188	XP_006522602; XP_006522604; XP_006522600; XP_006522603; NP_001345184; XP_006522601; NP_899110	Q80VT5
2610507B11Rik	72503	568976016; 262118187; 568976020; 1039738375	XP_006534376; NP_001002004; XP_006534375; XP_017170279	Q5SYL3; Q6DIC4; Q9CSS8; Q3UE65; Q80U77; Q8CGE3; Q66JY1; Q8C1W6; Q8CE06
2610524H06Rik	330173	30841010	NP_851420	Q9CZU9
2610528A11Rik	70045	332078512	NP_001193613	A0A0B4J1N3
2610528J11Rik	66451	13385014; 568929480	XP_006503335; NP_079848	Q9CQM1
2700049A03Rik	76967	568980672; 254540144; 568980674; 755543234; 254540142; 568980676	NP_001156850; XP_011242510; NP_084094; XP_006516427; XP_006516429; XP_006516428	E9Q0E2; E9PV87; B2RWX3
2700062C07Rik	68046	13386028	NP_080805	Q5XFZ0; Q9CXC1; Q9CZ41
2700081O15Rik	108899	222144281; 755562682; 755562684	XP_011245418; NP_780590; XP_011245417	Q4VA45; Q6PCY2
2700097O09Rik	72658	755543123; 568980477; 268607551	NP_082590; XP_006516334; XP_011242488	Q6PGK3; Q9CZH1
2810004N23Rik	66523	268836896	NP_079891	Q3UNZ3; Q9CSU7; Q9CZF4; Q8CIL4
2810006K23Rik	72650	197927090; 33859720	NP_082586; NP_001128189	Q80VP5; Q8BYK3; Q9CSJ6; Q3US94
2810021J22Rik	69944	1039738158; 27369519	XP_017170238; NP_765991	Q8BIB6
2810408A11Rik	70419	568975725; 568975731; 755539628; 940516962; 568975727; 1388153547; 47271515; 940516964; 940516960; 	XP_006534234; XP_006534235; NP_001350090; NP_001303626; XP_006534237; NP_001303627; NP_081695; NP_001303625; XP_011247548; 	Q6NSU2; B1AR39; B1AR42
2810416G20Rik	100040353			-
2810459M11Rik	72792	222418599; 222418601	NP_001138465; NP_001138464	B7ZMV2; B2RPZ8; Q9CYS6
2900026A02Rik	243219	1039771516; 1104876374; 27370348; 568935627; 568935629; 568935633	NP_001334326; NP_766472; XP_006534999; XP_006535000; XP_006535002; XP_017176370	A0A1B0GR85; Q5DTV9; A0A1D5RLN6; Q8BRV5; B2RVT5
2900073C17Rik	73020	-	-	-
2900092C05Rik	73090	254553454; 1039780043	NP_082710; XP_017167821	Q5I0V9
3021401N23Rik	70680	-	-	-
3110009E18Rik	73103	1039730085; 39930447; 568909706; 1039730090; 1039730087; 285026486	XP_017167941; NP_001165545; XP_017167940; XP_017167942; XP_006529956; NP_082715	Q8K163; Q9CRW3
3110040M04Rik	73176	94364014	XP_999090	A0A286YDK0
3110040N11Rik	67290	755521243; 755521246; 568948346; 13385576	XP_006541177; XP_011249198; XP_011249199; NP_080353	Q8K3A3; Q9CRC3
3110082I17Rik	73212	568938793; 146134371	XP_006504801; NP_082745	Q9CXL3; G5E8F7; Q6PDQ0
3110082J24Rik	433868	372266124	NP_001243192	Q3V208; F6Z6Z2
3300002I08Rik	69277	568918312; 755500492; 755500494; 755500496; 225007554	XP_006500197; NP_081293; XP_011238066; XP_011238065; XP_011238067	Q9CXH3
3425401B19Rik	100504518	568986227; 304361750; 568986229; 568986233; 568986225; 568986231; 568986223	XP_006518378; XP_006518377; NP_001182026; XP_006518382; XP_006518381; XP_006518379; XP_006518380	D3Z1D3
3830403N18Rik	70691	755565751; 755565753; 21746153	XP_011245978; XP_011245979; NP_081786	Q9D6C3
3830406C13Rik	218734	568985368; 548923698; 568985366; 568985374; 548923793; 568985380; 568985382; 30025022; 548923925; 568985370; 568985372; 568985376; 568985378; 548923768; 548923717; 568985386; 22122531	XP_006518051; NP_001271312; NP_001271314; XP_006518052; XP_006518057; NP_001271316; XP_006518053; XP_006518054; XP_006518060; XP_006518050; XP_006518056; NP_001271313; NP_001271315; NP_666163; NP_835277; XP_006518058; XP_006518055	Q8BGD0; Q6PFA6; Q8R061
3830417A13Rik	70696	261823983	NP_081788	Q8BQJ2
4430402I18Rik	381218	569007441; 569007433; 1039757922; 1039757928; 1039757931; 119372321	XP_017173731; XP_011245574; XP_011245576; XP_006527221; XP_006527225; NP_941053	F6UU42; B2RV46; Q8BI12
4833420G17Rik	67392	568984662; 1039744027; 1343294308; 568984668; 568984672; 165905621; 568984664; 568984674; 568984660; 568984666; 568984670; 165905617	XP_006517810; XP_006517808; XP_006517809; NP_001107022; NP_001347734; NP_080403; XP_006517807; XP_017171064; XP_006517806; XP_006517811; XP_006517812; XP_006517813	Q3TUB6; Q78HE1; Q9CUS5; Q9D822; Q3UF19; Q8K3D5; Q3UJC8
4833423E24Rik	228151	126157490	NP_001075133	Q0VAX3
4833427G06Rik	235345	29244154	NP_808370	Q80Y73; Q3V0W8
4833439L19Rik	97820	358001089; 568983841; 358001095; 568983839; 358001091; 19527012; 358001093	XP_006517541; NP_001239577; NP_001239574; XP_006517542; NP_598558; NP_001239576; NP_001239575	D3Z1F7; Q3UMA7; Q8C1J8; Q9DBN4; Q3TJ26; Q69ZP2; Q9D4T9
4921504E06Rik	70909	34328303	NP_081876	Q8CET2
4921507P07Rik	70821	568942868; 21389313; 568942870	XP_006506668; NP_081840; XP_006506669	Q9D5Y0; Q8K4U1
4921509C19Rik	381393	568917647; 568917651; 568917653; 568917645; 568917643; 38348544	XP_006499885; XP_006499886; XP_006499882; NP_941057; XP_006499881; XP_006499883	Q8C0X8
4921511M17Rik	667256	1039798331; 319401887	XP_017174095; NP_001188287	A2BED8
4921517D22Rik	70900	568983623; 34304099	XP_006517438; NP_899113	Q8CET0
4921524J17Rik	66714	13385182	NP_079998	Q9CR55
